entry,00001030,entrypoint
z_actor,8002E020,func_8002E020
z_actor,8002E084,func_8002E084
z_actor,8002E0D0,func_8002E0D0
z_actor,8002E12C,func_8002E12C
z_actor,8002E1A8,func_8002E1A8
z_actor,8002E234,func_8002E234
z_actor,8002E2AC,func_8002E2AC
z_actor,8002E4B4,Actor_UpdateBgCheckInfo
z_actor,8002E830,func_8002E830
z_actor,8002EABC,func_8002EABC
z_actor,8002EB44,func_8002EB44
z_actor,8002EBCC,func_8002EBCC
z_actor,8002ED80,func_8002ED80
z_actor,8002EEE4,Actor_GetFocus
z_actor,8002EF14,Actor_GetWorld
z_actor,8002EF44,Actor_GetWorldPosShapeRot
z_actor,8002EFC0,func_8002EFC0
z_actor,8002F090,func_8002F090
z_actor,8002F0C8,func_8002F0C8
z_actor,8002F194,func_8002F194
z_actor,8002F1C4,func_8002F1C4
z_actor,8002F298,func_8002F298
z_actor,8002F2CC,func_8002F2CC
z_actor,8002F2F4,func_8002F2F4
z_actor,8002F334,func_8002F334
z_actor,8002F368,func_8002F368
z_actor,8002F374,func_8002F374
z_actor,8002F410,Actor_HasParent
z_actor,8002F434,func_8002F434
z_actor,8002F554,func_8002F554
z_actor,8002F580,func_8002F580
z_actor,8002F5A0,Actor_HasNoParent
z_actor,8002F5C4,func_8002F5C4
z_actor,8002F5F0,func_8002F5F0
z_actor,8002F618,Actor_IsMounted
z_actor,8002F63C,Actor_SetRideActor
z_actor,8002F674,Actor_NotMounted
z_actor,8002F698,func_8002F698
z_actor,8002F6D4,func_8002F6D4
z_actor,8002F71C,func_8002F71C
z_actor,8002F758,func_8002F758
z_actor,8002F7A0,func_8002F7A0
z_actor,8002F7DC,func_8002F7DC
z_actor,8002F828,Audio_PlayActorSound2
z_actor,8002F850,func_8002F850
z_actor,8002F8F0,func_8002F8F0
z_actor,8002F91C,func_8002F91C
z_actor,8002F948,func_8002F948
z_actor,8002F974,func_8002F974
z_actor,8002F994,func_8002F994
z_actor,8002F9EC,func_8002F9EC
z_actor,8002FA60,func_8002FA60
z_actor,8002FBAC,func_8002FBAC
z_actor,80030488,func_80030488
z_actor,800304B0,func_800304B0
z_actor,800304DC,func_800304DC
z_actor,80030630,Actor_UpdateAll
z_actor,80030B2C,Actor_FaultPrint
z_actor,80030BE8,Actor_Draw
z_actor,80030ED8,func_80030ED8
z_actor,80030FA8,func_80030FA8
z_actor,8003115C,func_8003115C
z_actor,800314B0,func_800314B0
z_actor,800314D4,func_800314D4
z_actor,800315AC,func_800315AC
z_actor,80031A28,func_80031A28
z_actor,80031AC4,Actor_FreezeAllEnemies
z_actor,80031B14,func_80031B14
z_actor,80031C3C,func_80031C3C
z_actor,80031D1C,Actor_AddToCategory
z_actor,80031D60,Actor_RemoveFromCategory
z_actor,80031E2C,Actor_FreeOverlay
z_actor,80031F50,Actor_Spawn
z_actor,80032458,Actor_SpawnAsChild
z_actor,800324F0,Actor_SpawnTransitionActors
z_actor,80032628,Actor_SpawnEntry
z_actor,800326AC,Actor_Delete
z_actor,80032880,func_80032880
z_actor,800328D4,func_800328D4
z_actor,80032AF0,func_80032AF0
z_actor,80032C3C,Actor_Find
z_actor,80032C7C,func_80032C7C
z_actor,80032CB4,func_80032CB4
z_actor,80032D60,func_80032D60
z_actor,80032E24,BodyBreak_Alloc
z_actor,80032F54,BodyBreak_SetInfo
z_actor,8003305C,BodyBreak_SpawnParts
z_actor,80033260,func_80033260
z_actor,80033480,func_80033480
z_actor,80033640,Actor_GetCollidedExplosive
z_actor,80033684,func_80033684
z_actor,80033748,Actor_ChangeCategory
z_actor,80033780,func_80033780
z_actor,80033940,Actor_SetTextWithPrefix
z_actor,800339B8,func_800339B8
z_actor,80033A84,func_80033A84
z_actor,80033AB8,func_80033AB8
z_actor,80033AEC,func_80033AEC
z_actor,80033C30,func_80033C30
z_actor,80033DB8,func_80033DB8
z_actor,80033E1C,func_80033E1C
z_actor,80033E88,func_80033E88
z_actor,80033EF8,Rand_ZeroFloat
z_actor,80033F20,Rand_CenteredFloat
z_actor,80033F54,Actor_DrawDoorLock
z_actor,8003424C,func_8003424C
z_actor,8003426C,Actor_SetColorFilter
z_actor,800342EC,func_800342EC
z_actor,8003435C,func_8003435C
z_actor,800343CC,func_800343CC
z_actor,800344BC,func_800344BC
z_actor,800347E8,func_800347E8
z_actor,80034810,func_80034810
z_actor,80034A14,func_80034A14
z_actor,80034B28,func_80034B28
z_actor,80034B54,func_80034B54
z_actor,80034BA0,func_80034BA0
z_actor,80034CC4,func_80034CC4
z_actor,80034DD4,func_80034DD4
z_actor,80034EC0,func_80034EC0
z_actor,80034F54,func_80034F54
z_actor,80035118,Actor_Noop
z_actor,80035124,func_80035124
z_actor,80035260,Gfx_DrawDListOpa
z_actor,80035324,Gfx_DrawDListXlu
z_actor,800353E8,func_800353E8
z_actor,800353F4,Actor_FindNearby
z_actor,800354B4,func_800354B4
z_actor,8003555C,func_8003555C
z_actor,800355B8,func_800355B8
z_actor,800355E4,func_800355E4
z_actor,80035628,Actor_ApplyDamage
z_actor,80035650,func_80035650
z_actor,8003573C,func_8003573C
z_actor,80035844,func_80035844
z_actor,800358DC,func_800358DC
z_actor,800359B8,func_800359B8
z_actor,80035B18,func_80035B18
z_actor,80035B4C,Flags_GetEventChkInf
z_actor,80035B74,Flags_SetEventChkInf
z_actor,80035BA4,Flags_GetInfTable
z_actor,80035BCC,Flags_SetInfTable
z_actor,80035BFC,func_80035BFC
z_actor,80036E50,func_80036E50
z_actor,800374E0,func_800374E0
z_actor,80037C30,func_80037C30
z_actor,80037C5C,func_80037C5C
z_actor,80037C94,func_80037C94
z_actor,80037CB8,func_80037CB8
z_actor,80037D98,func_80037D98
z_actor,80037F30,func_80037F30
z_actor,80037FC8,func_80037FC8
z_actor,80038154,func_80038154
z_actor,80038290,func_80038290
z_actor_dlftbls,800383C0,ActorOverlayTable_LogPrint
z_actor_dlftbls,800384A4,ActorOverlayTable_FaultPrint
z_actor_dlftbls,80038590,ActorOverlayTable_Init
z_actor_dlftbls,800385D0,ActorOverlayTable_Cleanup
z_bgcheck,80038600,BgCheck_PosErrorCheck
z_bgcheck,80038708,SSNode_SetValue
z_bgcheck,8003871C,SSList_SetNull
z_bgcheck,80038728,SSNodeList_SetSSListHead
z_bgcheck,80038780,DynaSSNodeList_SetSSListHead
z_bgcheck,800387FC,DynaSSNodeList_Initialize
z_bgcheck,8003880C,DynaSSNodeList_Alloc
z_bgcheck,80038870,DynaSSNodeList_ResetCount
z_bgcheck,80038878,DynaSSNodeList_GetNextNodeIdx
z_bgcheck,800388A8,BgCheck_Vec3sToVec3f
z_bgcheck,800388E8,BgCheck_Vec3fToVec3s
z_bgcheck,80038924,CollisionPoly_GetMinY
z_bgcheck,800389D4,CollisionPoly_GetNormalF
z_bgcheck,80038A28,func_80038A28
z_bgcheck,80038B7C,CollisionPoly_GetPointDistanceFromPlane
z_bgcheck,80038BE0,CollisionPoly_GetVertices
z_bgcheck,80038C78,CollisionPoly_GetVerticesByBgId
z_bgcheck,80038D48,CollisionPoly_CheckYIntersectApprox1
z_bgcheck,80038E78,CollisionPoly_CheckYIntersect
z_bgcheck,80038F20,CollisionPoly_CheckYIntersectApprox2
z_bgcheck,80038F60,CollisionPoly_CheckXIntersectApprox
z_bgcheck,80039000,CollisionPoly_CheckZIntersectApprox
z_bgcheck,800390A0,CollisionPoly_LineVsPoly
z_bgcheck,8003937C,CollisionPoly_SphVsPoly
